dataset,version,metric,mode,ampere_7B_FT_0.17rc8_32k_0802_3755
WiC,d06864,accuracy,gen,57.21
summedits,315438,accuracy,gen,38.19
chid-dev,211ee7,accuracy,gen,75.25
afqmc-dev,901306,accuracy,gen,70.97
bustm-dev,5cc669,accuracy,gen,73.75
cluewsc-dev,5ab83b,accuracy,gen,79.25
WSC,7902a7,accuracy,gen,57.69
winogrande,a9ede5,accuracy,gen,66.77
C3,8c358f,accuracy,gen,90.63
CMRC_dev,1bd3c8,score,gen,69.99
DRCD_dev,1bd3c8,score,gen,80.08
MultiRC,27071f,accuracy,gen,84.22
race-middle,9a54b6,accuracy,gen,89
race-high,9a54b6,accuracy,gen,83.7
openbookqa_fact,60bd99,accuracy,gen,91.8
drop,8a9ed9,score,gen,68.97
csl_dev,25149e,accuracy,gen,49.38
lcsts,8ee1fe,rouge1,gen,29.81
Xsum,31397e,rouge1,gen,38.48
eprstmt-dev,9710da,accuracy,gen,39.38
lambada,2.17E+13,accuracy,gen,79.9
tnews-dev,958876,accuracy,gen,54.83
BoolQ,883d50,accuracy,gen,88.04
commonsense_qa,c946f2,accuracy,gen,86.98
nq,c788f6,score,gen,27.78
triviaqa,2121ce,score,gen,56.33
tydiqa-goldp_english,38da40,f1,gen,36.58
ARC-c,1e0de5,accuracy,gen,86.44
ARC-e,1e0de5,accuracy,gen,93.47
wikibench-wiki-single_choice_cncircular,f96ece,perf_4,gen,34.05
commonsenseqa_cn,d380d0,accuracy,gen,71.09
nq_cn,141737,score,gen,12.27
cmnli,1abf97,accuracy,gen,68.1
ocnli,c4cb6c,accuracy,gen,63.59
ocnli_fc-dev,51e956,accuracy,gen,68.12
AX_b,4dfefa,accuracy,gen,68.75
AX_g,68aac7,accuracy,gen,83.43
RTE,68aac7,accuracy,gen,75.81
ReCoRD,30dea0,score,gen,50.89
hellaswag,6faab5,accuracy,gen,81.87
piqa,1194eb,accuracy,gen,83.79
gsm8k-extra-options,108724,perf_4,gen,74.15
openai_humaneval,6d1cc2,humaneval_pass@1,gen,50.61
mbpp,caa7ab,score,gen,43.6
py150,38b13d,score,gen,25.93
maxmin,c205fb,accuracy,gen,62.74
math-agent,0c1b4e,follow_acc,unknown,34.76
cibench_generation_SciPy,1bc17b,executable,unknown,73.8
cibench_generation_Seaborn,1bc17b,executable,unknown,53.77
cibench_generation_PyTorch,1bc17b,executable,unknown,66.74
plugin_eval-instruct_v1,10482d,format_metric,unknown,80.7
plugin_eval-instruct_v1,10482d,args_em_metric,unknown,73.65
gov_report_4k,54c5b0,score,gen,31.51
gov_report_8k,54c5b0,score,gen,30.74
hotpotqa_e_15k,6b3efc,score,gen,60.88
lines_2k,9914f5,score,gen,100
lines_4k,9914f5,score,gen,98
lines_8k,9914f5,score,gen,99
lines_15k,7daf4a,score,gen,96
lines_30k,70f645,score,gen,50
